Пусто|Пусто|Пусто|true
Бабушкины гренки| Бабушка готовит внуку на ужин гренки. Для их приготовления она использует маленькую сковороду, способную уместить только два хлебных ломтика. На обжаривание каждой из сторон ломтика хлеба затрачивается одна минута времени. Чтобы приготовить три гренки, бабушке достаточно всего лишь трех минут вместо очевидных четырех. Как ей удается это сделать?|1. Обжаривается одна сторона первого и второго ломтика (1-я минута). 2. Первый ломтик переворачивается на другую сторону, второй временно убирается, а на его место кладется третий (2-я минута). 3. Убирается готовый первый ломтик, возвращается на сковороду второй и дожаривается вместе с перевернутым третьим (3-я минута).|true
Сумма чисел| В XIX веке один учитель задал своим ученикам вычислить сумму всех целых чисел от единицы до ста. Компьютеров и калькуляторов тогда еще не было, и ученики принялись добросовестно складывать числа. И только один ученик нашел правильный ответ всего за несколько секунд. Им оказался Карл Фридрих Гаусс - будущий великий математик. Как он это сделал?|Он выделил 49 пар чисел: 99 и 1, 98 и 2, 97 и 3 ... 51 и 49. В сумме каждая пара чисел равнялась ста, и оставалось два непарных числа 50 и 100. Следовательно, 49х100+50+100=5050.|true
Игрушки| В детской больнице юные пациенты очень любили иг­рать с очаровательными плюшевыми мишками, которые были там. К сожалению, детям они так сильно нравились, что мишки стали исчезать: малолетние па­циенты уносили их домой. Как руководство больницы решило эту проблему?|Всем мишкам сделали повязки и говорили маленьким детям, что миш­кам нужно оставаться в больнице, чтобы вылечиться. Дети с грустью, но с сочувствием соглашались.|true
Король и ...| Один король хотел сместить своего премьер-министра, но при этом не хотел его слишком обидеть. Он позвал премьер-министра к себе, положил при нем два листка бумаги в портфель и сказал: "На одном листке я напи­сал "Уходите", а на втором — "Останьтесь". Листок, который вы вытащите, решит вашу судьбу". Премьер-министр догадался, что на обоих листках было написано "Уходите". Как же, однако, умудрился он при этих условиях сохранить свое место?|Премьер-министр вытащил листок бумаги и, не глядя на него, скатал из него шарик — и проглотил. Поскольку на оставшемся листке стояло "Уходите", то королю пришлось признать, что на проглоченном листке значилось "Останьтесь".|true
Фальшивая монета| На столе лежат девять монет. Одна из них — фаль­шивая. Как при помощи двух взвешиваний можно найти фальшивую монету? (Фальшивая монета легче настоящих.)|Первое взвешивание: на каждую чашку весов кла­дем по три монеты. Если весы уравновешены, то для вто­рого взвешивания берутся две из трех оставшихся монет. Если фальшивая монета на весах, то ясно, на какой она чашке весов. Если же весы уравновешены, то фальши­вой является оставшаяся не взвешенная монета. Если при первом взвешивании одна из чашек переве­шивает другую, то фальшивая монета находится среди монет, вес которых оказывается меньше. Тогда вторым взвешиванием устанавливаем, какая из монет фальши­вая.|true
Пожар на острове| Человек находится на острове. Из-за долгой засухи трава и кусты на острове сильно пересохли. Внезапно на одном конце острова возник пожар, и ветер погнал огонь в сторону человека. Спастись в море чело­век не может, так как в море у самого берега плавает множество акул. Берегов без растительности на острове нет. Как человеку спастись?|Человеку нужно зажечь огонь на подветренной от себя стороне и не­много отойти навстречу основному пожару. Ветер погонит огонь, зажженный человеком, к подветренному концу острова. Когда этот участок выгорит, человек смо­жет вернуться на него и спокойно ждать, пока основной пожар дой­дет до этого участка и погаснет, так как гореть уже будет нечему.|true
Необычное предложение| Что необычного в предложении "The quick brown fox jumps over the lazy dog"? (Перевод: быстрая коричневая лиса перепрыгнула через ленивую собаку).|Это предложение содержит все буквы английского алфавита.|true
Производство обуви| Владельцами одной известной фирмы по производству обуви, было внедрено довольно необычное оригинальное решение, согласно которому в одном городе на обувной фабрике изготавливались только правые ботинки, а в другом городе – только левые. Благодаря этому внедрению, фирма смогла значительно снизить некоторые свои убытки. Что, по Вашему мнению, приносило фирме эти убытки?|Воровство обуви (пар обуви) рабочими с фабрик.|true
Назадачливый рыбак| Один рыбак купил себе новую удочку длиной 5 футов. Домой ему приходиться добираться общественным транспортом, в котором правилами запрещено перевозить предметы длиной более 4-х футов. Как необходимо упаковать удочку, чтобы проехать в общественном транспорте не нарушая правил?|Удочку необходимо упаковать в коробку длиной 4 фута и шириной 3 фута (расположить по диагонали коробки).|true
Взвешивание крупы| Имеется 9 кг крупы и чашечные весы с гирями в 50 г и 200 г. Попробуйте в три приема отвесить 2 кг этой крупы.|Нужно развесить крупу на две равные части по 4,5 кг; затем развесить одну из этих частей еще раз пополам, то есть по 2,25 кг, и от одной из этих частей отнять при помощи двух имеющихся гирь 250 г. Таким образом, Вы получите вес в 2 кг.|true
Новые таблички| В одном городе построили новый район из 100 домов. Мастера по изготовлению табличек изготовили и привезли пачку новых табличек с нумерацией домов от 1 до 100. Сосчитайте количество всех цифр 9 встречающихся в этих табличках (цифры 9 и 6 являются разными цифрами).|20 девяток.|true
Портрет| Один джентльмен, показывая своему другу портрет, нарисованный по его заказу одним художником, сказал: "У меня нет ни сестер, ни братьев, но отец этого человека был сыном моего отца".Кто был изображен на портрете?|На портрете изображен сын этого джентльмена.|true
Погремушки| Многие средневековые русские актёры (скоморохи) веселящие народ в ту пору, во время своих выступлений использовали погремушки, изготовленные из бычьего пузыря и находящихся внутри него плодов одного растения. Плоды, какого растения использовались при изготовлении этих погремушек?|Плоды гороха - (“шут гороховый”).|true
Находчивый таможенник| Служащему таможни, где производился контроль от­правляемых за границу товаров, показались подозри­тельными пластмассовые кегельные шары одной из фирм. Они весили столько же, сколько деревянные того же размера. Шары не были массивными, но стенки были повсюду одинаково тверды. Служащий подумал, что внутри каждого шара имеется полость, где можно спрятать контрабандные товары. И, действительно, при помощи очень простого опыта без применения особой аппаратуры таможенник установил, что в одном из 12 шаров спрятана контрабанда. Когда шар вскрыли, там оказалось брильянтовое украшение. Как удалось обнаружить этот шар?|Таможенник опустил шары в ведро с водой. Один из шаров неустойчиво покачивался на поверхности — центр тяжести его находился не в центре шара. Именно в этом шаре были спрятаны драгоценности.|true
Сколько страниц в книге?| При издании книги потребовалось 2 775 цифр того, чтобы пронумеровать ее страницы. Сколько стра­ниц в книге?|На первые 9 страниц требуется 9 цифр. С 10-й по 99-ю страницу (90 страниц) требуется 90х2=180 цифр. С 100-й по 999-ю страницу (900 страниц) требуется 900х3=2700 цифр (по 300 цифр на каждую сотню страниц с трехзначной нумерацией). Следовательно, на 999 страниц необходимо 2700+180+9=2889 цифр. Мы перебрали (2889-2775)/3=38 страниц. Итого: 999-38=961 страница была в книге.|true
Приготовление краски| Для того чтобы получить краску оранжевого цвета, необходимо смешать краски желтого цвета (6 частей) и красного цвета (2 части). Сколько грамм краски оранжевого цвета можно получить (максимально), имея в наличии 3 грамма желтой и 3 грамма красной краски?|Из условия задачи видно, что желтой краски требуется в 3 раза больше, чем красной. Следовательно, имея в наличии 3 грамма желтой краски, необходимо взять 1 грамм красной краски. То есть оранжевой краски при смешивании получиться 4 грамма.|true
Переливания| Имеются в наличии три банки: одна пятилитровая – полностью заполненная яблочным соком, и две пустые – на два и три литра. Используя эти три банки, методом переливания оставьте в пятилитровой банке четыре литра сока.|1. Оставляем в пятилитровой банке 2 литра сока, перелив 3 литра в трехлитровую банку. 2. С трехлитровой банки переливаем 2 литра сока в двухлитровую банку. 3. Переливаем все содержимое двухлитровой банки в пятилитровую банку с оставшимися двумя литрами сока.|true
Остывший кофе| Вы собрались попить кофе с молоком, и успели налить в стакан только кофе. Но вас просят отлучиться на несколько минут. Что надо сделать, чтобы при вашем возвращении кофе был горя­чее: налить в него молоко сразу перед уходом или после, когда вы вернетесь, и почему?|Скорость охлаждения пропорциональна разности темпера­тур нагретого тела и окружающего воздуха. Поэтому следует сразу несколько охладить кофе, влив в него молоко, чтобы дальнейшее остывание происходило медленнее.|true
Стеклянные шары| Имеются: два одинаковых стеклянных шара и один 100 этажный дом. Известно что: шары начинают разбиваться при ударе о землю, падая с определенного этажа. Как определить минимальное количество сбрасываний этих шаров с различных этажей, за которые можно гарантированно найти этот самый этаж?|Первый шар сбрасываем (пока на разобьется) с 14-го, 27-го 39-го, 50-го, 60-го, 69-го, 77-го, 84-го, 90-го, 95-го, 99-го этажей. Если, например шар разбился при сбрасывании с 69-го этажа, то вторым шаром производим сбрасывания с этажей располагающихся в интервале между 60-м и 69-м этажами. В этом и любом другом случае, минимальное количество сбрасываний шаров будет равняться 14-ти.|true
Землекопы| Пять землекопов за 5 часов выкапывают 5 м канавы. Сколько потребуется землекопов, для того чтобы выкопать 100 м канавы за 100 часов?|Понадобятся те же пять землекопов, не больше. В самом деле, пять землекопов за 5 часов выкапывают 5 м канавы; значит, пять землекопов за 1 час вырыли бы 1 м канавы, а в 100 часов — 100 м.|true
Деревенский дурачок| Люди, приезжавшие в одну деревушку, часто удивлялись местному дурачку. Когда ему предлага­ли выбор между блестящей 50-центовой монетой и мя­той пятидолларовой купюрой, он всегда выбирал моне­ту, хотя она стоит вдесятеро меньше купюры. Почему он никогда не выбирал купюру?|"Дурачок" был не так глуп: он понимал, что, пока он будет выбирать 50-центоную монету, люди будут предлагать ему деньги на выбор, а если он вы­берет пятидолларовую купюру, предложения денег прекратятся, и он не будет получать ничего.|true
Кольцо вокруг Земли| Образно представьте себе нашу планету, плотно стянутую кольцом по всему ее экватору. После увеличения длины окружности кольца на 10 метров, между кольцом и поверхностью земли образовался зазор определенной величины. Как Вы считаете, сможет ли человек пройти, или хотя бы протиснуться в этот зазор? Известно, что экватор имеет длину приблизительно равную 40 000 километров.|Для решения данной задачи достаточно элементарных знаний геометрии. Изначально может показаться, что увеличение длины кольца на 10 метров, по сравнению с его длиной в 40 000 км будет способствовать образованию практически незаметного зазора. Однако, исходя из формулы определения длины окружности L=2πR видно, что радиус Земли (кольца) R= L/2π   и при увеличении длины кольца на 10м, его радиус приблизительно увеличиться на 1,59м (10м/6,28), образуя соответствующий зазор, в который человек сможет не только протиснуться, но и даже пройти, немного нагнувшись.|true
Коробки с конфетами| Пете и Коле купили по коробке конфет. В каждой коробке находится 12 конфет. Петя из своей коробки съел несколько конфет, а Коля из своей коробки съел столько конфет, сколько осталось в коробке у Пети. Сколько конфет осталось на двоих у Пети и Коли?|12 конфет.|true
О лифте| Человек живет на 17-м этаже. На свой этаж он поднимается на лифте только в дождливую погоду или тогда, когда кто-нибудь из соседей с ним едет в лифте. Если погода хорошая и он один в лифте, то он едет до 9-го этажа, а дальше до 17-го этажа идет пешком по лестнице... Почему?|Этот человек - лилипут, и до кнопки 17-го этажа дотягивается только зонтиком или просит кого-нибудь нажать на эту кнопку.|true
Школьный инспектор| Инспектор, проверявший некую школу, заметил, что, когда бы он ни задал классу вопрос, в ответ тянули руки все ученики. Более того, хотя школьный учитель каждый раз выби­рал другого ученика, ответ всегда был правильным. Как это получалось?|Учитель предварительно договорился с учениками, чтобы они вызывались отвечать независимо от того, знают ответ или не знают. Но те, кто знает ответ, должны под­нимать правую руку, а те, кто не знает, — левую. Учитель каждый раз выбирал другого ученика, но всегда того, кто поднимал правую руку.|true
Два шнура| У Вас есть два шнура (фитиля). Каждый шнур, подожженный с конца, полностью сгорает дотла ровно за один час, но при этом горит с неравномерной скоростью. Как при помощи этих шнуров и зажигалки отмерить время в 45 минут?|Необходимо поджечь первый шнур одновременно с обоих концов - получаем 30 минут. Одновременно с первым шнуром поджигаем второй шнур с одного конца, и когда первый шнур догорит (30 минут),- поджигаем второй шнур с другого конца (оставшиеся 15 минут).|true
Форма яйца| Считается, что есть веская причина, по ко­торой у птичьих яиц один конец тупее другого. Что это за причина?|Сферические и овальные яйца катились бы по прямой. Асимметрич­ные же яйца, у которых один конец тупее, а другой острее, при скатывании стремятся катиться по кругу. Если яйцо лежит на краю обрыва или в другом ненадежном месте, стрем­ление катиться по кругу, а не по прямой — большое преимущество.|true
Переправа| Имеется круглое глубокое озеро диаметром 200 метров и два дерева, одно из которых растет на берегу у самой воды, другое - по центру озера на небольшом островке. Человеку, который не умеет плавать, нужно перебраться на островок при помощи веревки, длина которой чуть больше 200 метров. Как ему это сделать?|Привязав веревку одним концом к дереву, растущему на берегу, необходимо обойти с веревкой озеро по окружности и привязать второй конец веревки к тому же дереву. В результате между деревьями будет натянута сдвоенная веревка для переправы на остров.|true
Может ли такое быть?| Одного человека спросили: Сколько вам лет? Порядочно, — ответил он.— Я старше некоторых своих родственников почти шестьсот раз. Может ли такое быть?|Может, например если человеку 50 лет, а его внуку или внучке 1 месяц.|true
Кофе с сахаром| Чашка кофе с кубиком сахара стоит 1 доллар 10 центов. Известно, что кофе дороже кубика сахара на 1 доллар. Сколько стоит само кофе, и сколько стоит кубик сахара?|Кофе стоит 1 доллар 5 центов, а кубик сахара - соответственно 5 центов.|true
Полуночный дождь| Если в 12 часов ночи идет дождь, то можно ли ожидать, что через 72 часа будет солнечная погода?|Нет, так как через 72 часа снова будет полночь.|true
Кубический метр!?|Если один кубический метр разделить на составляющие его кубические миллиметры и соединить их между собой гранями в одну прямую линию, то каковой длины окажется эта линия?|1000 км.|true
На аэростате| Аэростат свободно и неподвижно держится в воздухе. Из гондолы его вылез человек и начал по тросу взбираться вверх. Куда подвинется при этом аэростат: вверх или вниз?|Аэростат должен податься вниз, так как, взбираясь по тросу вверх, человек отталкивает его вместе с шаром в об­ратную сторону. Здесь происходит то же, что и при ходьбе человека по дну лодки: лодка подвигается при этом назад.|true
Авторские права| Как защищают свои издания от пиратов, которые хотели бы их скопировать, некоторые издатели словарей и атласов?|Обычно издатели включают в словарь несуществующее слово, а в атлас помещают несуществующий остров. Если они обнаруживают­ся в каком-то другом издании, факт копирования становится несо­мненным.|true
Безбрежное море| Мы часто произносим: "безбрежное море". А существует ли в действительности "безбрежное море", то есть море, у которого нет берегов?|Сарагасово море, расположенное в Атлантическом океане. Оно замечательно тем, что почти сплошь покрыто зарослями водорослей и его "берегами" являются воды океана.|true
Что быстрее?| Если шар, гладкий куб и цилиндр будут одновременно пу­щены вниз по наклонной плоскости, что первым очутится внизу?|Первым достигнет низа куб, вторым — шар, последним — цилиндр. Шар и цилиндр потратят часть энергии на вращение, что соответственно уменьшит их скорость.|true
